Room_URI	Room	Capacity	Building	Address	Room Number
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ATIB	Atominstitut Bibliothek	25	Atominstitut	Stadionallee 2, 1. Stock, links	ZA0115
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ABL	Aufbaulabor	120	Hauptgebäude	Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock	AH0105
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EG	Ausstellungshalle	200	ARSENAL OBJEKT 219	Franz Grill Str . / Lilienthalg.,	OVEGE01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRG	Besprechungsraum Galerie	14	Institutsgebäude	Argentinierstr. 8, Argentinierstrasse 8, 1. Stock	EAZE04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRK	Besprechungsraum Kuppel	8	Institutsgebäude	Argentinierstr. 8, Argentienerstraße 8, EG	EAEG05A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CB0115	Bibliothek E 351	20	Elektrot.Institutsg.	Gußhausstr. 25-29,	
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EDVP	EDV Praktikum Physik	32	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 1. OG	DB01E09
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E1	EI 1 Petritsch HS	63	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0242
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10	EI 10 Fritz Paschke HS	151	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG31
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11	EI 11 Geodäsie HS	94	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, 3. Stock	CD0304
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2	EI 2 Pichelmayer HS	123	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0235
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3	EI 3 Sahulka HS	184	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0205
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3A	EI 3A Hörsaal	59	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0213
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4	EI 4 Reithoffer HS	90	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0245
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E5	EI 5 Hochenegg HS	114	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0229
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6	EI 6 Eckert HS	32	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 10, 6. Stock	CF0453
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7	EI 7 Hörsaal	434	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E8	EI 8 Pötzl HS	139	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9	EI 9 Hlawka HS	181	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8	FH 8 Nöbauer HS	203	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H12
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F1	FH Hörsaal 1	383	Freihausgebäude	Wiedner Hauptstr. 8, Turm C, roter Bereich, 1. u. 2. OG	DC02H03
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F2	FH Hörsaal 2	53	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3	FH Hörsaal 3	87	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F4	FH Hörsaal 4	54	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5	FH Hörsaal 5	198	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02G15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6	FH Hörsaal 6	198	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02K01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7	FH Hörsaal 7	70	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI	GM 1 Audi. Max.	500	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, EG	BAU178A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=RADI	GM 2 Radinger Hörsaal	240	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 1.OG	BD01B33
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=VORT+HS	GM 3 Vortmann Hörsaal	110	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02A05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ATIB	Atominstitut Bibliothek	25	Atominstitut	Stadionallee 2, 1. Stock, links	ZA0115
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ABL	Aufbaulabor	120	Hauptgebäude	Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock	AH0105
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EG	Ausstellungshalle	200	ARSENAL OBJEKT 219	Franz Grill Str . / Lilienthalg.,	OVEGE01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRG	Besprechungsraum Galerie	14	Institutsgebäude	Argentinierstr. 8, Argentinierstrasse 8, 1. Stock	EAZE04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRK	Besprechungsraum Kuppel	8	Institutsgebäude	Argentinierstr. 8, Argentienerstraße 8, EG	EAEG05A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CB0115	Bibliothek E 351	20	Elektrot.Institutsg.	Gußhausstr. 25-29,	
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EDVP	EDV Praktikum Physik	32	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 1. OG	DB01E09
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E1	EI 1 Petritsch HS	63	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0242
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10	EI 10 Fritz Paschke HS	151	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG31
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11	EI 11 Geodäsie HS	94	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, 3. Stock	CD0304
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2	EI 2 Pichelmayer HS	123	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0235
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3	EI 3 Sahulka HS	184	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0205
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3A	EI 3A Hörsaal	59	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0213
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4	EI 4 Reithoffer HS	90	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0245
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E5	EI 5 Hochenegg HS	114	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0229
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6	EI 6 Eckert HS	32	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 10, 6. Stock	CF0453
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7	EI 7 Hörsaal	434	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E8	EI 8 Pötzl HS	139	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9	EI 9 Hlawka HS	181	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8	FH 8 Nöbauer HS	203	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H12
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F1	FH Hörsaal 1	383	Freihausgebäude	Wiedner Hauptstr. 8, Turm C, roter Bereich, 1. u. 2. OG	DC02H03
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F2	FH Hörsaal 2	53	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3	FH Hörsaal 3	87	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F4	FH Hörsaal 4	54	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5	FH Hörsaal 5	198	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02G15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6	FH Hörsaal 6	198	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02K01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7	FH Hörsaal 7	70	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI	GM 1 Audi. Max.	500	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, EG	BAU178A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=RADI	GM 2 Radinger Hörsaal	240	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 1.OG	BD01B33
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=VORT+HS	GM 3 Vortmann Hörsaal	110	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02A05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=KNOL	GM 4 Knoller Hörsaal	104	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 2.OG	BD02D32
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BA_PRAKT	GM 5 Praktikum HS	240	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.UG	BAU276A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H11	HS 11 Paul Ludwik	196	Hauptgebäude	Karlsplatz 13, Hof 1, Stiege 5	AC0240
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H13	HS 13 Ernst Melan	174	Hauptgebäude	Karlsplatz 13, Stiege 7	AE0239
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H14A	HS 14A Günther Feuerstein	102	Hauptgebäude	Karlsplatz 13, Stiege 3, 3. Stock	AB0306
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H17	HS 17 Friedrich Hartmann	211	Hauptgebäude	Karlsplatz 13, Stiege 7, 3. Stock	AE0341
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H18	HS 18 Czuber	200	Hauptgebäude	Karlsplatz 13, zw.Stiege 2 u. 8, 2. Stock	AE0238
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H7	HS 7 Schütte-Lihotzky	143	Hauptgebäude	Karlsplatz 13, Hof 2, Stiege 7	AHEG07
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H8	HS 8 Heinz Parkus	196	Hauptgebäude	Karlsplatz 13, Stiege 7	AE0141
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H12	Hörsaal 12	64	Hauptgebäude	Karlsplatz 13, Hof 2, Stiege 6	AF0222
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H14	Hörsaal 14	36	Hauptgebäude	Karlsplatz 13, Stiege 3, 3. Stock	AB0302
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H15	Hörsaal 15	52	Hauptgebäude	Karlsplatz 13, Stiege 3, 3. Stock	AB0314
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H6	Hörsaal 6	167	Hauptgebäude	Karlsplatz 13, zw. Stiege 2 u. 8	AEEG40
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AIHS	Hörsaal AI	196	Atominstitut	Stadionallee 2,	ZDEG01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WBUIF01	Hörsaal W4	174	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU EG	WB UI F01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WAEG07	Hörsaal W5	138	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU EG	WA EG E07
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WC03A24	Hörsaal WEDV	70	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU 3.OG	WC 03 A24
